Title,Description
Puss in Boots: The Last Wish,"Puss in Boots: The Last Wish (2022) is a animation film directed by Joel Crawford. Featuring Antonio Banderas, this movie has an IMDb rating of 7.8/10 and a MetaScore of 73.0. With a runtime of 102 minutes, it is rated PG."
Encanto,"Encanto (2021) is a animation film directed by Jared Bush. Featuring Stephanie Beatriz, this movie has an IMDb rating of 7.2/10 and a MetaScore of 75.0. With a runtime of 102 minutes, it is rated PG."
Coco,"Coco (2017) is a animation film directed by Lee Unkrich. Featuring Anthony Gonzalez, this movie has an IMDb rating of 8.4/10 and a MetaScore of 81.0. With a runtime of 105 minutes, it is rated PG."
Frozen,"Frozen (2013) is a animation film directed by Chris Buck. Featuring Kristen Bell, this movie has an IMDb rating of 7.4/10 and a MetaScore of 75.0. With a runtime of 102 minutes, it is rated PG."
Mufasa: The Lion King,"Mufasa: The Lion King (2024) is a animation film directed by Barry Jenkins. Featuring Linda Woolverton, Irene Mecchi, Jonathan Roberts, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 116 minutes, it is rated R."
Howl's Moving Castle,"Howl's Moving Castle (2004) is a animation film directed by Hayao Miyazaki. Featuring Chieko Baishô, this movie has an IMDb rating of 8.2/10 and a MetaScore of 82.0. With a runtime of 119 minutes, it is rated PG."
Zootopia,"Zootopia (2016) is a animation film directed by Byron Howard. Featuring Ginnifer Goodwin, this movie has an IMDb rating of 8.0/10 and a MetaScore of 78.0. With a runtime of 108 minutes, it is rated PG."
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Teenage Mutant Ninja Turtles: Mutant Mayhem (2023) is a animation film directed by Jeff Rowe. Featuring Micah Abbey, this movie has an IMDb rating of 7.2/10 and a MetaScore of 74.0. With a runtime of 99 minutes, it is rated PG."
Kung Fu Panda,"Kung Fu Panda (2008) is a animation film directed by Mark Osborne. Featuring Jack Black, this movie has an IMDb rating of 7.6/10 and a MetaScore of 74.0. With a runtime of 92 minutes, it is rated PG."
Mars Express,"Mars Express (2023) is a animation film directed by Jérémie Périn. Featuring Laca Drucker, Mathieu Amalric, Daniel Njo, and others, this movie has an IMDb rating of 7.5/10 and a MetaScore of 76.0. With a runtime of 88 minutes, it is rated Not Rated."
Your Name.,"Your Name. (2016) is a animation film directed by Makoto Shinkai. Featuring Makoto Shinkai, Clark Cheng, this movie has an IMDb rating of 8.4/10 and a MetaScore of 81.0. With a runtime of 116 minutes, it is rated R."
The Lord of the Rings: The War of the Rohirrim,"The Lord of the Rings: The War of the Rohirrim (2024) is a animation film directed by Kenji Kamiyama. Featuring Jeffrey Addiss, Phoebe Gittins, Will Matthews, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 116 minutes, it is rated R."
Taxi Driver,"Taxi Driver (1976) is a crime film directed by Martin Scorsese. Featuring Robert De, Niro Jodie, Foster Cybill, and others, this movie has an IMDb rating of 8.2/10 and a MetaScore of 94.0. With a runtime of 114 minutes, it is rated R."
Kill Bill: Vol. 1,"Kill Bill: Vol. 1 (2003) is a action film directed by Quentin Tarantino. Featuring Quentin Tarantino, Uma Thurman, this movie has an IMDb rating of 8.2/10 and a MetaScore of 69.0. With a runtime of 111 minutes, it is rated R."
We're the Millers,"We're the Millers (2013) is a comedy film directed by Rawson Marshall Thurber. Featuring Bob Fisher, Steve, Faber Sean, and others, this movie has an IMDb rating of 7.0/10 and a MetaScore of 44.0. With a runtime of 110 minutes, it is rated R."
The Green Mile,"The Green Mile (1999) is a crime film directed by Frank Darabont. Featuring Tom Hanks, Michael Clarke, Duncan David, and others, this movie has an IMDb rating of 8.6/10 and a MetaScore of 61.0. With a runtime of 189 minutes, it is rated R."
Animal,"Animal (2023) is a action film directed by Sandeep Reddy Vanga. Featuring Suresh Bandaru, Saurabh Gupta, Pranay Reddy, and others, this movie has an IMDb rating of 6.2/10 and a MetaScore of 33.0. With a runtime of 204 minutes, it is rated Not Rated."
Prisoners,"Prisoners (2013) is a crime film directed by Denis Villeneuve. Featuring Hugh Jackman, Jake Gyllenhaal, Viola Davis, this movie has an IMDb rating of 8.2/10 and a MetaScore of 70.0. With a runtime of 153 minutes, it is rated R."
12 Angry Men,"12 Angry Men (1957) is a crime film directed by Sidney Lumet. Featuring Reginald Rose, this movie has an IMDb rating of 9.0/10 and a MetaScore of 97.0. With a runtime of 96 minutes, it is rated Approved."
Joker,"Joker (2019) is a crime film directed by Todd Phillips. Featuring Todd Phillips, Scott Silver, Bob Kane, this movie has an IMDb rating of 8.4/10 and a MetaScore of 59.0. With a runtime of 122 minutes, it is rated R."
Sicario,"Sicario (2015) is a action film directed by Denis Villeneuve. Featuring Emily Blunt, Josh Brolin, Benicio Del, and others, this movie has an IMDb rating of 7.7/10 and a MetaScore of 82.0. With a runtime of 121 minutes, it is rated R."
Baby Driver,"Baby Driver (2017) is a action film directed by Edgar Wright. Featuring Ansel Elgort, Jon Bernthal, Jon Hamm, this movie has an IMDb rating of 7.5/10 and a MetaScore of 86.0. With a runtime of 113 minutes, it is rated R."
Léon: The Professional,"Léon: The Professional (1994) is a action film directed by Luc Besson. Featuring Jean Reno, Gary Oldman, Natalie Portman, this movie has an IMDb rating of 8.5/10 and a MetaScore of 64.0. With a runtime of 110 minutes, it is rated R."
In the Land of Saints and Sinners,"In the Land of Saints and Sinners (2023) is a action film directed by Robert Lorenz. Featuring Kerry Condon, Desmond Eastwood, Conor Mac, and others, this movie has an IMDb rating of 6.3/10 and a MetaScore of 60.0. With a runtime of 106 minutes, it is rated R."
The Equalizer,"The Equalizer (2014) is a action film directed by Antoine Fuqua. Featuring Denzel Washington, Marton Csokas, Chloë Grace, and others, this movie has an IMDb rating of 7.2/10 and a MetaScore of 57.0. With a runtime of 132 minutes, it is rated R."
The Equalizer 3,"The Equalizer 3 (2023) is a action film directed by Antoine Fuqua. Featuring Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, this movie has an IMDb rating of 6.8/10 and a MetaScore of 58.0. With a runtime of 109 minutes, it is rated R."
Wicked Little Letters,"Wicked Little Letters (2023) is a comedy film directed by Thea Sharrock. Featuring Jessie Buckley, Olivia Colman, Timothy Spall, this movie has an IMDb rating of 7.0/10 and a MetaScore of 58.0. With a runtime of 100 minutes, it is rated R."
Beverly Hills Cop,"Beverly Hills Cop (1984) is a action film directed by Martin Brest. Featuring Daniel Petrie, Jr.Danilo Bach, this movie has an IMDb rating of 7.4/10 and a MetaScore of 66.0. With a runtime of 105 minutes, it is rated R."
The Silence of the Lambs,"The Silence of the Lambs (1991) is a crime film directed by Jonathan Demme. Featuring Jodie Foster, Anthony Hopkins, Scott Glenn, this movie has an IMDb rating of 8.6/10 and a MetaScore of 86.0. With a runtime of 118 minutes, it is rated R."
Heat,"Heat (1995) is a action film directed by Michael Mann. Featuring Al Pacino, Robert De, Niro Val, and others, this movie has an IMDb rating of 8.3/10 and a MetaScore of 76.0. With a runtime of 170 minutes, it is rated R."
No Country for Old Men,"No Country for Old Men (2007) is a crime film directed by Ethan Coen. Featuring Tommy Lee Jones, Javier Bardem, Josh Brolin, this movie has an IMDb rating of 8.2/10 and a MetaScore of 92.0. With a runtime of 122 minutes, it is rated R."
Se7en,"Se7en (1995) is a crime film directed by David Fincher. Featuring Morgan Freeman, Brad Pitt, Kevin Spacey, this movie has an IMDb rating of 8.6/10 and a MetaScore of 65.0. With a runtime of 127 minutes, it is rated R."
John Wick: Chapter 4,"John Wick: Chapter 4 (2023) is a action film directed by Chad Stahelski. Featuring Keanu Reeves, Laurence Fishburne, George Georgiou, this movie has an IMDb rating of 7.7/10 and a MetaScore of 78.0. With a runtime of 169 minutes, it is rated R."
The Talented Mr. Ripley,"The Talented Mr. Ripley (1999) is a crime film directed by Anthony Minghella. Featuring Matt Damon, Gwyneth Paltrow, Jude Law, this movie has an IMDb rating of 7.4/10 and a MetaScore of 76.0. With a runtime of 139 minutes, it is rated R."
The Outsiders,"The Outsiders (1983) is a crime film directed by Francis Ford Coppola. Featuring C., Thomas Howell, Matt Dillon, and others, this movie has an IMDb rating of 7.0/10 and a MetaScore of 45.0. With a runtime of 91 minutes, it is rated PG."
The Departed,"The Departed (2006) is a crime film directed by Martin Scorsese. Featuring Leonardo Di, Caprio Matt, Damon Jack, and others, this movie has an IMDb rating of 8.5/10 and a MetaScore of 85.0. With a runtime of 151 minutes, it is rated R."
Goodfellas,"Goodfellas (1990) is a biography film directed by Martin Scorsese. Featuring Nicholas Pileggi, Martin Scorsese, this movie has an IMDb rating of 8.7/10 and a MetaScore of 92.0. With a runtime of 145 minutes, it is rated R."
The Batman,"The Batman (2022) is a action film directed by Matt Reeves. Featuring Matt Reeves, Peter Craig, Bob Kane, this movie has an IMDb rating of 7.8/10 and a MetaScore of 72.0. With a runtime of 176 minutes, it is rated PG-13."
The Courier,"The Courier (2020) is a drama film directed by Dominic Cooke. Featuring Benedict Cumberbatch, Merab Ninidze, Rachel Brosnahan, this movie has an IMDb rating of 7.2/10 and a MetaScore of 65.0. With a runtime of 112 minutes, it is rated PG-13."
The Dark Knight,"The Dark Knight (2008) is a action film directed by Christopher Nolan. Featuring Jonathan Nolan, Christopher Nolan, David, and others, this movie has an IMDb rating of 9.0/10 and a MetaScore of 84.0. With a runtime of 152 minutes, it is rated PG-13."
Killers of the Flower Moon,"Killers of the Flower Moon (2023) is a crime film directed by Martin Scorsese. Featuring Leonardo Di, Caprio Robert, De Niro, and others, this movie has an IMDb rating of 7.6/10 and a MetaScore of 89.0. With a runtime of 206 minutes, it is rated R."
Pulp Fiction,"Pulp Fiction (1994) is a crime film directed by Quentin Tarantino. Featuring Quentin Tarantino, Roger Avary, this movie has an IMDb rating of 8.9/10 and a MetaScore of 95.0. With a runtime of 154 minutes, it is rated R."
The Bikeriders,"The Bikeriders (2023) is a crime film directed by Jeff Nichols. Featuring Jodie Comer, Austin Butler, Tom Hardy, this movie has an IMDb rating of 7.5/10 and a MetaScore of 73.0. With a runtime of 116 minutes, it is rated R."
The Godfather,"The Godfather (1972) is a crime film directed by Francis Ford Coppola. Featuring Mario Puzo, Francis Ford, Coppola, this movie has an IMDb rating of 9.2/10 and a MetaScore of 100.0. With a runtime of 175 minutes, it is rated R."
The Gentlemen,"The Gentlemen (2019) is a action film directed by Guy Ritchie. Featuring Guy Ritchie, Ivan Atkinson, Marn Davies, this movie has an IMDb rating of 7.8/10 and a MetaScore of 51.0. With a runtime of 113 minutes, it is rated R."
Monster,"Monster (2023) is a horror film directed by Rako Prijanto. Featuring Marsha Timothy, Alex Abbad, Anantya Kirana, this movie has an IMDb rating of 4.6/10 and a MetaScore of 66.0. With a runtime of 86 minutes, it is rated TV-MA."
Glass,"Glass (2019) is a drama film directed by M. Night Shyamalan. Featuring M., Night Shyamalan, this movie has an IMDb rating of 6.6/10 and a MetaScore of 43.0. With a runtime of 129 minutes, it is rated PG-13."
Lisa Frankenstein,"Lisa Frankenstein (2024) is a comedy film directed by Zelda Williams. Featuring Kathryn Newton, Liza Soberano, Jenna Davis, this movie has an IMDb rating of 6.1/10 and a MetaScore of 47.0. With a runtime of 101 minutes, it is rated PG-13."
It,"It (2017) is a fantasy film directed by Andy Muschietti. Featuring Chase Palmer, Cary Joji, Fukunaga Gary, and others, this movie has an IMDb rating of 7.3/10 and a MetaScore of 69.0. With a runtime of 135 minutes, it is rated R."
Smile,"Smile (2022) is a horror film directed by Parker Finn. Featuring Sosie Bacon, Jessie, T., and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 68.0. With a runtime of 115 minutes, it is rated R."
The Dead Don't Die,"The Dead Don't Die (2019) is a comedy film directed by Jim Jarmusch. Featuring Bill Murray, Adam Driver, Tilda Swinton, this movie has an IMDb rating of 5.5/10 and a MetaScore of 53.0. With a runtime of 104 minutes, it is rated R."
Nosferatu,"Nosferatu (2024) is a fantasy film directed by Robert Eggers. Featuring Aaron Taylor-Johnson, Bill Skarsgard.Nicholas Hoult, this movie has an IMDb rating of 6.9/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R."
A Serbian Film,"A Serbian Film (2010) is a horror film directed by Srdjan Spasojevic. Featuring Srdjan, 'Zika', Todorovic Sergej, and others, this movie has an IMDb rating of 5.0/10 and a MetaScore of 66.0. With a runtime of 104 minutes, it is rated NC-17."
Mandy,"Mandy (2018) is a action film directed by Panos Cosmatos. Featuring Panos Cosmatos, Aaron, Stewart-Ahn Casper, and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 83.0. With a runtime of 121 minutes, it is rated Not Rated."
The Prodigy,"The Prodigy (2019) is a fantasy film directed by Nicholas McCarthy. Featuring Taylor Schilling, Jackson Robert, Scott Peter, and others, this movie has an IMDb rating of 5.9/10 and a MetaScore of 45.0. With a runtime of 92 minutes, it is rated R."
Split,"Split (1974) is a drama film directed by Roger Lambert. Featuring Mark Draisey, Steve Reader, Madeline Aitken, this movie has an IMDb rating of 6.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R."
The Menu,"The Menu (2022) is a comedy film directed by Mark Mylod. Featuring Ralph Fiennes, Anya, Taylor-Joy Nicholas, and others, this movie has an IMDb rating of 7.2/10 and a MetaScore of 71.0. With a runtime of 107 minutes, it is rated R."
Nope,"Nope (2022) is a horror film directed by Jordan Peele. Featuring Daniel Kaluuya, Keke Palmer, Brandon Perea, this movie has an IMDb rating of 6.8/10 and a MetaScore of 77.0. With a runtime of 130 minutes, it is rated R."
Five Nights at Freddy's,"Five Nights at Freddy's (2023) is a horror film directed by Emma Tammi. Featuring Scott Cawthon, Seth Cuddeback, Emma Tammi, this movie has an IMDb rating of 5.5/10 and a MetaScore of 33.0. With a runtime of 109 minutes, it is rated PG-13."
The First Omen,"The First Omen (2024) is a horror film directed by Arkasha Stevenson. Featuring Tim Smith, Arkasha Stevenson, Keith Thomas, this movie has an IMDb rating of 6.7/10 and a MetaScore of 65.0. With a runtime of 119 minutes, it is rated R."
Midsommar,"Midsommar (2019) is a drama film directed by Ari Aster. Featuring Florence Pugh, Jack Reynor, Vilhelm Blomgren, this movie has an IMDb rating of 7.1/10 and a MetaScore of 72.0. With a runtime of 148 minutes, it is rated R."
The Killing of a Sacred Deer,"The Killing of a Sacred Deer (2017) is a drama film directed by Yorgos Lanthimos. Featuring Barry, G., Bernson Herb, and others, this movie has an IMDb rating of 7.0/10 and a MetaScore of 73.0. With a runtime of 121 minutes, it is rated R."
Talk to Me,"Talk to Me (2007) is a biography film directed by Kasi Lemmons. Featuring Michael Genet, Rick Famuyiwa, this movie has an IMDb rating of 7.3/10 and a MetaScore of 69.0. With a runtime of 118 minutes, it is rated R."
Hereditary,"Hereditary (2018) is a drama film directed by Ari Aster. Featuring Toni Collette, Milly Shapiro, Gabriel Byrne, this movie has an IMDb rating of 7.3/10 and a MetaScore of 87.0. With a runtime of 127 minutes, it is rated R."
MaXXXine,"MaXXXine (2024) is a crime film directed by Ti West. Featuring Ti West, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 103 minutes, it is rated R."
Exhuma,"Exhuma (2024) is a horror film directed by Jang Jae-hyun. Featuring Jang, Jae-hyun, this movie has an IMDb rating of 7.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R."
Shaitaan,"Shaitaan (2024) is a drama film directed by Vikas Bahl. Featuring Aamil Keeyan, Khan Krishnadev, Yagnik, this movie has an IMDb rating of 6.7/10 and a MetaScore of 66.9. With a runtime of 132 minutes, it is rated Not Rated."
Arcadian,"Arcadian (2024) is a action film directed by Benjamin Brewer. Featuring Nicolas Cage, Jaeden Martell, Maxwell Jenkins, this movie has an IMDb rating of 5.5/10 and a MetaScore of 60.0. With a runtime of 92 minutes, it is rated R."
Barbarian,"Barbarian (2022) is a horror film directed by Zach Cregger. Featuring Georgina Campbell, Bill Skarsgard, Justin Long, this movie has an IMDb rating of 7.0/10 and a MetaScore of 78.0. With a runtime of 102 minutes, it is rated R."
Immaculate,"Immaculate (2024) is a horror film directed by Michael Mohan. Featuring Sydney SweeneyÁlvaro, Morte Simona, Tabasco, this movie has an IMDb rating of 5.8/10 and a MetaScore of 57.0. With a runtime of 89 minutes, it is rated R."
Tarot,"Tarot (2024) is a horror film directed by Spenser Cohen. Featuring Harriet Slater, Adain Bradley, Jacob Batalon, this movie has an IMDb rating of 4.9/10 and a MetaScore of 36.0. With a runtime of 92 minutes, it is rated PG-13."
I Saw the TV Glow,"I Saw the TV Glow (2024) is a drama film directed by Jane Schoenbrun. Featuring Justice Smith, Brigette, Lundy-Paine Ian, and others, this movie has an IMDb rating of 6.9/10 and a MetaScore of 84.0. With a runtime of 100 minutes, it is rated PG-13."
Late Night with the Devil,"Late Night with the Devil (2023) is a horror film directed by Cameron Cairnes. Featuring David Dastmalchian, Laura Gordon, Ian Bliss, this movie has an IMDb rating of 7.1/10 and a MetaScore of 72.0. With a runtime of 93 minutes, it is rated R."
The Substance,"The Substance (2024) is a drama film directed by Coralie Fargeat. Featuring Margaret Qualley, Demi Moore, Dennis Quaid, this movie has an IMDb rating of 8.0/10 and a MetaScore of 83.0. With a runtime of 116 minutes, it is rated R."
The Strangers: Chapter 1,"The Strangers: Chapter 1 (2024) is a horror film directed by Renny Harlin. Featuring Madelaine Petsch, Ryan Bown, Matus Lajcak, this movie has an IMDb rating of 5.0/10 and a MetaScore of 43.0. With a runtime of 91 minutes, it is rated R."
Alien,"Alien (1979) is a horror film directed by Ridley Scott. Featuring Dan, O'Bannon Ronald, Shusett, this movie has an IMDb rating of 8.5/10 and a MetaScore of 89.0. With a runtime of 117 minutes, it is rated R."
A Quiet Place,"A Quiet Place (2018) is a drama film directed by John Krasinski. Featuring Bryan Woods, Scott Beck, John Krasinski, this movie has an IMDb rating of 7.5/10 and a MetaScore of 82.0. With a runtime of 90 minutes, it is rated PG-13."
Deadpool 2,"Deadpool 2 (2018) is a action film directed by David Leitch. Featuring Rhett Reese, Paul Wernick, Ryan Reynolds, this movie has an IMDb rating of 7.6/10 and a MetaScore of 66.0. With a runtime of 119 minutes, it is rated R."
Avengers: Endgame,"Avengers: Endgame (2019) is a action film directed by Anthony Russo. Featuring Christopher Markus, Stephen Mc, Feely Stan, and others, this movie has an IMDb rating of 8.4/10 and a MetaScore of 78.0. With a runtime of 181 minutes, it is rated PG-13."
Spider-Man: Across the Spider-Verse,"Spider-Man: Across the Spider-Verse (2023) is a animation film directed by Joaquim Dos Santos. Featuring Shameik Moore, Hailee Steinfeld, Brian Tyree, and others, this movie has an IMDb rating of 8.6/10 and a MetaScore of 86.0. With a runtime of 140 minutes, it is rated PG."
Star Wars: Episode I - The Phantom Menace,"Star Wars: Episode I - The Phantom Menace (1999) is a action film directed by George Lucas. Featuring Ewan Mc, Gregor Liam, Neeson Natalie, and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 51.0. With a runtime of 136 minutes, it is rated PG."
Spider-Man: No Way Home,"Spider-Man: No Way Home (2021) is a action film directed by Jon Watts. Featuring Chris Mc, Kenna Erik, Sommers Stan, and others, this movie has an IMDb rating of 8.2/10 and a MetaScore of 71.0. With a runtime of 148 minutes, it is rated PG-13."
Rebel Moon - Part Two: The Scargiver,"Rebel Moon - Part Two: The Scargiver (2024) is a action film directed by Zack Snyder. Featuring Zack Snyder, Kurt Johnstad, Shay Hatten, this movie has an IMDb rating of 5.2/10 and a MetaScore of 35.0. With a runtime of 122 minutes, it is rated PG-13."
The Matrix,"The Matrix (1999) is a action film directed by Lana Wachowski. Featuring Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, this movie has an IMDb rating of 8.7/10 and a MetaScore of 73.0. With a runtime of 136 minutes, it is rated R."
Blade Runner 2049,"Blade Runner 2049 (2017) is a action film directed by Denis Villeneuve. Featuring Hampton Fancher, Michael Green, Philip, and others, this movie has an IMDb rating of 8.0/10 and a MetaScore of 81.0. With a runtime of 164 minutes, it is rated R."
Jurassic Park,"Jurassic Park (1993) is a action film directed by Steven Spielberg. Featuring Michael Crichton, David Koepp, this movie has an IMDb rating of 8.2/10 and a MetaScore of 68.0. With a runtime of 127 minutes, it is rated PG-13."
The Fifth Element,"The Fifth Element (1997) is a action film directed by Luc Besson. Featuring Luc Besson, Robert Mark, Kamen, this movie has an IMDb rating of 7.6/10 and a MetaScore of 52.0. With a runtime of 126 minutes, it is rated PG-13."
The Hunger Games,"The Hunger Games (2012) is a action film directed by Gary Ross. Featuring Gary Ross, Suzanne Collins, Billy Ray, this movie has an IMDb rating of 7.2/10 and a MetaScore of 68.0. With a runtime of 142 minutes, it is rated PG-13."
Godzilla vs. Kong,"Godzilla vs. Kong (2021) is a action film directed by Adam Wingard. Featuring Terry Rossio, Michael Dougherty, Zach Shields, this movie has an IMDb rating of 6.3/10 and a MetaScore of 59.0. With a runtime of 113 minutes, it is rated PG-13."
Rebel Moon - Part One: A Child of Fire,"Rebel Moon - Part One: A Child of Fire (2023) is a action film directed by Zack Snyder. Featuring Zack Snyder, Kurt Johnstad, Shay Hatten, this movie has an IMDb rating of 5.6/10 and a MetaScore of 31.0. With a runtime of 133 minutes, it is rated PG-13."
28 Days Later,"28 Days Later (2002) is a drama film directed by Danny Boyle. Featuring Cillian Murphy, Naomie Harris, Christopher Eccleston, this movie has an IMDb rating of 7.5/10 and a MetaScore of 73.0. With a runtime of 113 minutes, it is rated R."
Alien: Romulus,"Alien: Romulus (2024) is a horror film directed by Fede Alvarez. Featuring Fede Alvarez, Rodo Sayagues, Dan, and others, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 116 minutes, it is rated R."
Inception,"Inception (2010) is a action film directed by Christopher Nolan. Featuring Leonardo Di, Caprio Joseph, Gordon-Levitt Elliot, and others, this movie has an IMDb rating of 8.8/10 and a MetaScore of 74.0. With a runtime of 148 minutes, it is rated PG-13."
A Quiet Place: Day One,"A Quiet Place: Day One (2024) is a drama film directed by Michael Sarnoski. Featuring Michael Sarnoski, John Krasinski, Bryan Woods, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 116 minutes, it is rated R."
Mad Max Beyond Thunderdome,"Mad Max Beyond Thunderdome (1985) is a action film directed by George Miller. Featuring Terry Hayes, George Miller, Byron Kennedy, this movie has an IMDb rating of 6.2/10 and a MetaScore of 71.0. With a runtime of 107 minutes, it is rated PG-13."
Interstellar,"Interstellar (2014) is a adventure film directed by Christopher Nolan. Featuring Matthew Mc, Conaughey Anne, Hathaway Jessica, and others, this movie has an IMDb rating of 8.7/10 and a MetaScore of 74.0. With a runtime of 169 minutes, it is rated PG-13."
Her,"Her (2013) is a drama film directed by Spike Jonze. Featuring Joaquin Phoenix, Amy Adams, Scarlett Johansson, this movie has an IMDb rating of 8.0/10 and a MetaScore of 91.0. With a runtime of 126 minutes, it is rated R."
Godzilla Minus One,"Godzilla Minus One (2023) is a action film directed by Takashi Yamazaki. Featuring Ryunosuke Kamiki, Minami Hamabe, Sakura Andô, this movie has an IMDb rating of 7.9/10 and a MetaScore of 81.0. With a runtime of 124 minutes, it is rated PG-13."
Dune,"Dune (2021) is a action film directed by Denis Villeneuve. Featuring Jon Spaihts, Denis Villeneuve, Eric Roth, this movie has an IMDb rating of 8.0/10 and a MetaScore of 74.0. With a runtime of 155 minutes, it is rated PG-13."
Megalopolis,"Megalopolis (2024) is a drama film directed by Francis Ford Coppola. Featuring Adam Driver, Giancarlo Esposito, Nathalie Emmanuel, this movie has an IMDb rating of 7.0/10 and a MetaScore of 58.0. With a runtime of 116 minutes, it is rated R."
Dune: Part Two,"Dune: Part Two (2024) is a action film directed by Denis Villeneuve. Featuring Timothée Chalamet, Zendaya Rebecca, Ferguson, this movie has an IMDb rating of 8.6/10 and a MetaScore of 79.0. With a runtime of 166 minutes, it is rated PG-13."
Kingdom of the Planet of the Apes,"Kingdom of the Planet of the Apes (2024) is a action film directed by Wes Ball. Featuring Owen Teague, Freya Allan, Kevin Durand, this movie has an IMDb rating of 7.2/10 and a MetaScore of 66.0. With a runtime of 145 minutes, it is rated PG-13."
